Interactor A	Interaction	Interactor B	Interaction detection method(s)	Interaction identifier(s)	Interaction type(s)	Publication Identifier(s)	HostOrganism(s)	NumMethods	NumPublications	Throughput	Weight
P28482	interacts with	O76070	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-156913	MI:0915(physical association)	12121974	taxid:9606	1	1	9	0.222222222
P15311	interacts with	Q9NZA1	MI:0492(in vitro)|MI:0096(pull down)	HPRD_27607|BIOGRID_108431	MI:0407(direct interaction)	10793131|10793131	unspecified:32644	2	1	8	0.375
P18031	interacts with	P29376	MI:0492(in vitro)|MI:0434(phosphatase assay)|MI:0434(phosphatase assay)|MI:0434(phosphatase assay)|MI:0686(unspecified method)	HPRD_37075|MINT_68732|UniProt_71246|MINT_39469|BIOGRID_114981	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	12237455|12237455|12237455|12237455|12237455	in vitro:-1|in vitro:-1|in vitro:-1|unspecified:32644	2	1	14	0.214285714
P12931	interacts with	Q96B97	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_191533|BIOGRID_198789	MI:0915(physical association)|MI:0915(physical association)	15707590|22833562	unspecified:32644|unspecified:32644	1	2	4	0.75
P13569	interacts with	P62491	MI:0004(affinity chromatography technology)	BIOGRID_195524	MI:0915(physical association)	19398555	unspecified:32644	1	1	6	0.333333333
P13569	interacts with	Q15599	MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)|MI:0096(pull down)|MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	MINT_48585|UniProt_70944|MINT_48578|UniProt_70945|UniProt_82561|BIOGRID_111564|UniProt_70940|BIOGRID_111562|HPRD_10814|MINT_77852|MINT_48582|BIOGRID_262800|MINT_77856|MINT_77859|UniProt_87503|UniProt_87502	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0914(association)|MI:0914(association)	12369822|12369822|12369822|12369822|16203867|10893422|12369822|10893422|10893422|12369822|12369822|17110338|12369822|12369822|17110338|17110338	in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|human-ht_29:9606|unspecified:32644|in vitro:-1|unspecified:32644|in vitro:-1|in vitro:-1|unspecified:32644|in vitro:-1|in vitro:-1|human-calu_3:9606|human-calu_3:9606	4	4	2	4
P02751	interacts with	P98082	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_252789	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	P15311	MI:0004(affinity chromatography technology)	BIOGRID_252885	MI:0915(physical association)	19738201	unspecified:32644	1	1	1032	0.001937984
P02751	interacts with	P10809	MI:0004(affinity chromatography technology)	BIOGRID_253036	MI:0915(physical association)	19738201	unspecified:32644	1	1	1032	0.001937984
P02751	interacts with	P11717	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_252911	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	P30048	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_253056	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	P51148	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_252576	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	P02787	MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0493(in vivo)	UniProt_77081|BIOGRID_279914|HPRD_40001	MI:0914(association)|MI:0915(physical association)|-	15174051|23750785|15174051	human-serum:9606|unspecified:32644|-	3	2	31	0.161290323
P02751	interacts with	P02786	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_253122	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	Q9UK41	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_252737	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
P02751	interacts with	Q96QK1	MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)	UniProt_103099|BIOGRID_252758	MI:0914(association)|MI:0915(physical association)	19738201|19738201	in vitro:-1|unspecified:32644	2	1	1032	0.002906977
Q9Y6K9	interacts with	P04083	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-224824	MI:0915(physical association)	21383699	taxid:9606	1	1	7	0.285714286
Q04206	interacts with	P04083	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-224827	MI:0915(physical association)	21383699	taxid:9606	1	1	7	0.285714286
Q13546	interacts with	P04083	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-224825|innatedb:IDB-224826	MI:0915(physical association)	21383699	taxid:9606	1	1	7	0.285714286
P07355	interacts with	P62330	MI:0006(anti bait coimmunoprecipitation)	UniProt_148293	MI:0915(physical association)	17353931	human-293:9606	1	1	5979	3.35E-04
P07355	interacts with	P49407	MI:0004(affinity chromatography technology)	BIOGRID_188293	MI:0915(physical association)	17620599	unspecified:32644	1	1	406	0.004926108
P07355	interacts with	P32121	MI:0004(affinity chromatography technology)	BIOGRID_188457	MI:0915(physical association)	17620599	unspecified:32644	1	1	406	0.004926108
P07355	interacts with	P12931	MI:0493(in vivo)	HPRD_37098	-	11106497	-	1	1	1	2
P07355	interacts with	P19320	MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0030(cross-linking study)|MI:0096(pull down)|MI:0096(pull down)	UniProt_122794|BIOGRID_253240|UniProt_103100|UniProt_122791|UniProt_122792	MI:0914(association)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0914(association)	22623428|19738201|19738201|22623428|22623428	in vitro:-1|unspecified:32644|in vitro:-1|in vitro:-1|in vitro:-1	3	2	830	0.006024096
P08758	interacts with	P13569	MI:0007(anti tag coimmunoprecipitation)	innatedb:IDB-186330	MI:0915(physical association)	18773956	taxid:9606	1	1	1	2
Q10567	interacts with	Q96CW1	MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	UniProt_130642|BIOGRID_219955|BIOGRID_116762	MI:0914(association)|MI:0915(physical association)|MI:0407(direct interaction)	24189400|19380743|7593184	human-bronchial epit:9606|unspecified:32644|unspecified:32644	2	3	8	0.625
Q96C92	interacts with	Q9BXS5	MI:0018(two hybrid)	UniProt_114186	MI:0915(physical association)	21516116	yeast:4932	1	1	747	0.002677376
Q96C92	interacts with	Q9Y2X7	MI:0492(in vitro)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	HPRD_30141|BIOGRID_94787|UniProt_155728	MI:0407(direct interaction)|MI:0915(physical association)	16169070|16169070|16169070	unspecified:32644|chlae-cos_1:9534	3	1	4255	9.40E-04
P01130	interacts with	Q9Y6Q5	MI:0004(affinity chromatography technology)|MI:0493(in vivo)	BIOGRID_105673|HPRD_14057	MI:0915(physical association)|-	11157985|11157985	unspecified:32644|-	2	1	2	1.5
P01130	interacts with	P04114	MI:0493(in vivo)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)	HPRD_1354|UniProt_131616|UniProt_131619|UniProt_131618|UniProt_131615	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	12031600|24447298|24447298|24447298|24447298	in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1	2	2	1	4
P01130	interacts with	P02649	MI:0493(in vivo)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)	HPRD_1564|UniProt_131620|UniProt_131617	MI:0407(direct interaction)|MI:0407(direct interaction)	12036962|24447298|24447298	in vitro:-1|in vitro:-1	2	2	1	4
P01130	interacts with	P27824	MI:0004(affinity chromatography technology)	BIOGRID_250671	MI:0915(physical association)	16257961	unspecified:32644	1	1	4	0.5
P01130	interacts with	P16671	MI:0096(pull down)	BIOGRID_97542	MI:0407(direct interaction)	9555943	unspecified:32644	1	1	3	0.666666667
P01130	interacts with	Q92793	MI:0415(enzymatic study)|MI:0415(enzymatic study)|MI:0415(enzymatic study)|MI:0415(enzymatic study)	UniProt_98137|MINT_39845|MINT_69138|BIOGRID_256338	MI:0192(acetylation reaction)|MI:0192(acetylation reaction)|MI:0192(acetylation reaction)|MI:0407(direct interaction)	18660751|18660751|18660751|18660751	in vitro:-1|in vitro:-1|in vitro:-1|unspecified:32644	1	1	2	1
P01130	interacts with	P98082	MI:0096(pull down)	BIOGRID_99226	MI:0407(direct interaction)	11247302	unspecified:32644	1	1	8	0.25
P01130	interacts with	P17948	MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)	MINT_60992|MINT_60998|MINT_32164|UniProt_169061|MINT_32161|UniProt_93908|UniProt_93910	MI:0403(colocalization)|MI:0915(physical association)|MI:0915(physical association)|MI:0403(colocalization)|MI:0403(colocalization)|MI:0403(colocalization)|MI:0915(physical association)	17962812|17962812|17962812|17962812|17962812|17962812|17962812	crigr:10029|crigr:10029|crigr:10029|crigr-cho9:10029|crigr:10029|crigr-cho9:10029|crigr-cho9:10029	1	1	1	2
P01130	interacts with	P14625	MI:0004(affinity chromatography technology)	BIOGRID_250669	MI:0915(physical association)	16257961	unspecified:32644	1	1	4	0.5
P01130	interacts with	P11021	MI:0493(in vivo)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	HPRD_34644|BIOGRID_250668|BIOGRID_114235	MI:0915(physical association)|MI:0915(physical association)	10906332|16257961|10906332	unspecified:32644|unspecified:32644	2	2	1	4
P01130	interacts with	Q5SW96	MI:0096(pull down)|MI:0096(pull down)|MI:0492(in vitro)	BIOGRID_105888|UniProt_69818|HPRD_13820	MI:0407(direct interaction)|MI:0407(direct interaction)|-	12221107|12221107|12221107	unspecified:32644|in vitro:-1|-	2	1	4	0.75
P01130	interacts with	P30533	MI:0493(in vivo)|MI:0096(pull down)	HPRD_36223|BIOGRID_109344	MI:0407(direct interaction)	7822276|7822276	unspecified:32644	2	1	1	3
P01130	interacts with	Q8WY64	MI:0004(affinity chromatography technology)|MI:0415(enzymatic study)|MI:0415(enzymatic study)|MI:0415(enzymatic study)	BIOGRID_199560|BIOGRID_142259|BIOGRID_142260|BIOGRID_154630	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	22109552|21734303|21734303|21685362	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644	2	3	4	1.25
P01130	interacts with	Q8NBP7	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0492(in vitro)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	UniProt_121959|DIP_53867|HPRD_32217|UniProt_121965|UniProt_121966|UniProt_121967|UniProt_121962|UniProt_121961|UniProt_121964|UniProt_121963|UniProt_121960	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	22081141|18250299|17435765|22081141|22081141|22081141|22081141|22081141|22081141|22081141|22081141	in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1	2	3	1	5
P01130	interacts with	P30101	MI:0428(imaging technique)|MI:0428(imaging technique)|MI:0004(affinity chromatography technology)|MI:0428(imaging technique)	MINT_52590|MINT_85086|BIOGRID_251613|UniProt_88653	MI:0408(disulfide bond)|MI:0408(disulfide bond)|MI:0915(physical association)|MI:0408(disulfide bond)	17170699|17170699|17170699|17170699	human:9606|human:9606|unspecified:32644|human-ht1080:9606	2	1	26	0.115384615
P01130	interacts with	P13667	MI:0004(affinity chromatography technology)	BIOGRID_250670	MI:0915(physical association)	16257961	unspecified:32644	1	1	4	0.5
P01130	interacts with	P02776	MI:0493(in vivo)|MI:0096(pull down)	HPRD_1066|BIOGRID_97036	MI:0407(direct interaction)	11986215|11986215	unspecified:32644	2	1	1	3
P01130	interacts with	Q15036	MI:0493(in vivo)|MI:0096(pull down)|MI:0096(pull down)	HPRD_13859|BIOGRID_109776|BIOGRID_109772	MI:0915(physical association)|MI:0407(direct interaction)	12169628|12169628|12169628	unspecified:32644|unspecified:32644	2	1	5	0.6
P01130	interacts with	P0CG48	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	BIOGRID_140451|BIOGRID_199558|BIOGRID_154629|BIOGRID_152846|BIOGRID_171220|BIOGRID_266029	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	19520913|22109552|21685362|22074827|21139048|21963094	unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644	2	6	1	8
P56377	interacts with	Q9NZ52	MI:0492(in vitro)	HPRD_12471	-	12215646	-	1	1	1	2
O95782	interacts with	Q96CW1	MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)	UniProt_130642|BIOGRID_219954	MI:0914(association)|MI:0915(physical association)	24189400|19380743	human-bronchial epit:9606|unspecified:32644	2	2	90	0.044444444
O95782	interacts with	P49407	MI:0004(affinity chromatography technology)	BIOGRID_279712	MI:0915(physical association)	16709866	unspecified:32644	1	1	11	0.181818182
O95782	interacts with	P32121	MI:0004(affinity chromatography technology)	BIOGRID_188446	MI:0915(physical association)	17620599	unspecified:32644	1	1	406	0.004926108
O95782	interacts with	P98082	MI:0004(affinity chromatography technology)	BIOGRID_257105	MI:0915(physical association)	22323290	unspecified:32644	1	1	29	0.068965517
O95782	interacts with	P00533	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0112(ubiquitin reconstruction)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	BIOGRID_284966|BIOGRID_285069|UniProt_103216|UniProt_130644|UniProt_130634|UniProt_130635	MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)|MI:0914(association)|MI:0914(association)	23956138|23956138|20029029|24189400|24189400|24189400	unspecified:32644|unspecified:32644|yeasx:4932|human-bronchial epit:9606|human-bronchial epit:9606|human-bronchial epit:9606	3	3	90	0.066666667
O95782	interacts with	Q9H4M9	MI:0096(pull down)	BIOGRID_97051	MI:0407(direct interaction)	11423532	unspecified:32644	1	1	9	0.222222222
O95782	interacts with	P19320	MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0096(pull down)	UniProt_122794|BIOGRID_253299|UniProt_122795|UniProt_122791	MI:0914(association)|MI:0915(physical association)|MI:0914(association)|MI:0914(association)	22623428|19738201|22623428|22623428	in vitro:-1|unspecified:32644|in vitro:-1|in vitro:-1	2	2	830	0.004819277
O00499	interacts with	O94973	MI:0004(affinity chromatography technology)|MI:0492(in vitro)	BIOGRID_191757|HPRD_8755	MI:0915(physical association)|-	9195986|10430869	unspecified:32644|-	2	2	2	2
O00499	interacts with	P05067	MI:0096(pull down)	BIOGRID_228116	MI:0407(direct interaction)	21832049	unspecified:32644	1	1	1936	0.001033058
O00499	interacts with	Q9UKG1	MI:0663(confocal microscopy)	UniProt_126829	MI:0915(physical association)	23414517	human-skeletal-muscle:9606	1	1	689	0.002902758
O00499	interacts with	Q05193	MI:0049(filter binding)|MI:0492(in vitro)	UniProt_82111|HPRD_8748	MI:0915(physical association)|-	16275660|9280305	in vitro:-1|-	2	2	5	0.8
O00499	interacts with	P62834	MI:0493(in vivo)|MI:0678(antibody array)	HPRD_25120|innatedb:IDB-118161	MI:0915(physical association)	15207703	taxid:9606	2	1	26	0.115384615
O00499	interacts with	Q8TB24	MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0018(two hybrid)	BIOGRID_88090|UniProt_72841|MINT_62103|MINT_33181|MINT_31070|MINT_31071|UniProt_72840|MINT_59621|MINT_59622|MINT_59623|UniProt_72839|UniProt_72838|BIOGRID_88089|MINT_31069|HPRD_8758	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|-	12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505|12972505	unspecified:32644|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|in vitro:-1|unspecified:32644|in vitro:-1|-	2	1	7	0.428571429
O00499	interacts with	O95219	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0493(in vivo)	BIOGRID_77779|UniProt_73188|UniProt_73187|MINT_59681|UniProt_73186|MINT_59680|UniProt_73185|MINT_59679|MINT_59678|BIOGRID_89822|MINT_31106|MINT_31107|MINT_31104|MINT_31105|HPRD_8757	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|-	12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730|12668730	unspecified:32644|yeast:4932|yeast:4932|yeast:4932|yeast:4932|yeast:4932|yeast:4932|yeast:4932|yeast:4932|unspecified:32644|yeast:4932|yeast:4932|yeast:4932|yeast:4932|-	2	1	1	3
O75061	interacts with	O94973	MI:0492(in vitro)	HPRD_14152	-	11470803	-	1	1	2	1
O60641	interacts with	O94973	MI:0492(in vitro)	HPRD_14150	-	10430869	-	1	1	3	0.666666667
O60641	interacts with	P63010	MI:0492(in vitro)	HPRD_8289	-	12732633	-	1	1	3	0.666666667
P53680	interacts with	P63010	MI:0492(in vitro)	HPRD_8283	-	12086608	-	1	1	4	0.5
P53680	interacts with	Q96CW1	MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)	UniProt_130642|BIOGRID_220009	MI:0914(association)|MI:0915(physical association)	24189400|19380743	human-bronchial epit:9606|unspecified:32644	2	2	90	0.044444444
P36575	interacts with	P63010	MI:0004(affinity chromatography technology)	BIOGRID_142262	MI:0915(physical association)	21118812	unspecified:32644	1	1	1	2
P36575	interacts with	P49407	MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)	BIOGRID_82385|UniProt_146407|BIOGRID_188266	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	17353931|17353931|17620599	unspecified:32644|human-293:9606|unspecified:32644	2	2	406	0.009852217
P36575	interacts with	Q92783	MI:0004(affinity chromatography technology)	BIOGRID_146287	MI:0403(colocalization)	20505072	unspecified:32644	1	1	10	0.2
O43683	interacts with	P63010	MI:0018(two hybrid)	HPRD_26005	-	12419313	-	1	1	9	0.222222222
O60566	interacts with	P63010	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	HPRD_8284|BIOGRID_103596|BIOGRID_103597	MI:0407(direct interaction)|MI:0407(direct interaction)	12419313|12419313|12419313	unspecified:32644|unspecified:32644	1	1	9	0.222222222
P46108	interacts with	P63010	MI:0004(affinity chromatography technology)	BIOGRID_219869	MI:0915(physical association)	19380743	unspecified:32644	1	1	620	0.003225806
P46108	interacts with	Q96CW1	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0004(affinity chromatography technology)	UniProt_99112|UniProt_99110|BIOGRID_219983	MI:0914(association)|MI:0914(association)|MI:0915(physical association)	19380743|19380743|19380743	human-k_562:9606|human-k_562:9606|unspecified:32644	2	1	620	0.00483871
P46108	interacts with	Q9NZ52	MI:0004(affinity chromatography technology)	BIOGRID_220433	MI:0915(physical association)	21664574	unspecified:32644	1	1	3	0.666666667
P46108	interacts with	Q13905	MI:0493(in vivo)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0077(nuclear magnetic resonance)|MI:0081(peptide array)|MI:0081(peptide array)|MI:0081(peptide array)|MI:0096(pull down)|MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0077(nuclear magnetic resonance)|MI:0096(pull down)|MI:0096(pull down)|MI:0492(in vitro)|MI:0081(peptide array)|MI:0096(pull down)|MI:0096(pull down)|MI:0493(in vivo)|MI:0006(anti bait coimmunoprecipitation)|MI:0077(nuclear magnetic resonance)|MI:0077(nuclear magnetic resonance)	HPRD_40358|UniProt_135283|BIOGRID_108279|BIOGRID_220798|BIOGRID_108280|BIOGRID_108281|DIP_53757|MINT_73382|MINT_43339|MINT_73425|MINT_86013|BIOGRID_212273|BIOGRID_219803|BIOGRID_212272|DIP_53760|MINT_56900|UniProt_91288|HPRD_38978|MINT_43382|BIOGRID_194391|UniProt_91331|HPRD_39643|UniProt_99110|DIP_53697|DIP_53698	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)|-	9546424|8621483|7512734|18835194|7512734|7512734|17515907|17474147|17474147|17474147|8621483|7531694|19380743|7531694|17515907|8621483|17474147|11870224|17474147|8943292|17474147|11278445|19380743|17515907|17515907	in vivo:-4|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:32644|unspecified:-3|unspecified:-3|unspecified:-3|in vitro:-1|unspecified:32644|unspecified:32644|unspecified:32644|in vitro:-1|in vitro:-1|unspecified:-3|unspecified:32644|in vitro:-1|human-k_562:9606|-	8	11	1	19
P46108	interacts with	Q8TB24	MI:0081(peptide array)|MI:0096(pull down)|MI:0081(peptide array)	MINT_43342|UniProt_91291|MINT_73385	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	17474147|17474147|17474147	unspecified:-3|in vitro:-1|unspecified:-3	2	1	992	0.003024194
P46108	interacts with	Q15036	MI:0081(peptide array)|MI:0081(peptide array)|MI:0096(pull down)	MINT_73379|MINT_43336|UniProt_91285	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	17474147|17474147|17474147	unspecified:-3|unspecified:-3|in vitro:-1	2	1	992	0.003024194
P42566	interacts with	P63010	MI:0004(affinity chromatography technology)	BIOGRID_219893	MI:0915(physical association)	19380743	unspecified:32644	1	1	620	0.003225806
